Office No.,Company Name,Company Number,SIC Code,Registered Address,Status,Incorporated,Companies House Search Link,Lookup Priority,Wave Candidate Flag,Wave Detection Method,Confirmation Status,Research Notes
944,,,,"Office 944, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20944%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,22.0,True,office_number_high_range_sequence_inference,pending,
945,,,,"Office 945, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20945%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,21.0,True,office_number_high_range_sequence_inference,pending,
946,,,,"Office 946, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20946%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,20.0,True,office_number_high_range_sequence_inference,pending,
947,,,,"Office 947, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20947%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,19.0,True,office_number_high_range_sequence_inference,pending,
948,,,,"Office 948, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20948%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,18.0,True,office_number_high_range_sequence_inference,pending,
949,,,,"Office 949, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20949%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,17.0,True,office_number_high_range_sequence_inference,pending,
950,,,,"Office 950, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20950%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,16.0,True,office_number_high_range_sequence_inference,pending,
954,,,,"Office 954, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20954%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,15.0,True,office_number_high_range_sequence_inference,pending,
955,,,,"Office 955, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20955%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,14.0,True,office_number_high_range_sequence_inference,pending,
961,,,,"Office 961, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20961%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,13.0,True,office_number_high_range_sequence_inference,pending,
968,,,,"Office 968, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20968%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,12.0,True,office_number_high_range_sequence_inference,pending,
969,,,,"Office 969, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20969%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,11.0,True,office_number_high_range_sequence_inference,pending,
973,,,,"Office 973, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20973%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,10.0,True,office_number_high_range_sequence_inference,pending,
984,,,,"Office 984, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20984%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,9.0,True,office_number_high_range_sequence_inference,pending,
989,,,,"Office 989, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20989%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,8.0,True,office_number_high_range_sequence_inference,pending,
990,,,,"Office 990, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20990%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,7.0,True,office_number_high_range_sequence_inference,pending,
993,,,,"Office 993, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20993%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,6.0,True,office_number_high_range_sequence_inference,pending,
994,,,,"Office 994, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20994%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,5.0,True,office_number_high_range_sequence_inference,pending,
995,,,,"Office 995, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%20995%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,4.0,True,office_number_high_range_sequence_inference,pending,
1006,,,,"Office 1006, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%201006%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,3.0,True,office_number_high_range_sequence_inference,pending,
1007,,,,"Office 1007, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%201007%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,2.0,True,office_number_high_range_sequence_inference,pending,
1008,,,,"Office 1008, 85 Dunstall Hill, Wolverhampton, WV6 0SR",,,https://find-and-update.company-information.service.gov.uk/search?q=Office%201008%2085%20Dunstall%20Hill%20Wolverhampton%20WV6%200SR,1.0,True,office_number_high_range_sequence_inference,pending,
